musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkpoint
Matt Hall,3,3/4 11:04:00,14,3/4 15:51:00,14,4h 47m,3h 23m,3/4 07:41:00,8.87,Rainy Pass
Jessie Holmes,5,3/4 11:03:00,14,3/4 15:55:00,14,4h 52m,3h 15m,3/4 07:48:00,9.23,Rainy Pass
Jessie Royer,14,3/4 12:13:00,14,3/4 15:59:00,14,3h 46m,3h 6m,3/4 09:07:00,9.68,Rainy Pass
Aaron Burmeister,38,3/4 15:46:00,13,3/4 16:01:00,13,0h 15m,4h 8m,3/4 11:38:00,7.26,Rainy Pass
Linwood Fiedler,15,3/4 11:18:00,14,3/4 16:02:00,14,4h 44m,3h 13m,3/4 08:05:00,9.33,Rainy Pass
Mitch Seavey,32,3/4 13:32:00,14,3/4 16:22:00,14,2h 50m,3h 13m,3/4 10:19:00,9.33,Rainy Pass
Mats Pettersson,4,3/4 12:18:00,14,3/4 16:37:00,14,4h 19m,3h 9m,3/4 09:09:00,9.52,Rainy Pass
Richie Diehl,29,3/4 12:58:00,14,3/4 16:42:00,14,3h 44m,3h 10m,3/4 09:48:00,9.47,Rainy Pass
Jason Campeau,12,3/4 12:57:00,14,3/4 16:51:00,14,3h 54m,3h 32m,3/4 09:25:00,8.49,Rainy Pass
Travis Beals,51,3/4 13:12:00,14,3/4 16:58:00,14,3h 46m,3h 9m,3/4 10:03:00,9.52,Rainy Pass
Kristy Berington,26,3/4 16:56:00,13,3/4 17:01:00,13,0h 5m,8h 17m,3/4 08:39:00,3.62,Rainy Pass
Anna Berington,10,3/4 16:57:00,14,3/4 17:01:00,14,0h 4m,8h 18m,3/4 08:39:00,3.61,Rainy Pass
Wade Marrs,36,3/4 17:22:00,14,3/4 17:24:00,14,0h 2m,9h 17m,3/4 08:05:00,3.23,Rainy Pass
Matthew Failor,17,3/4 14:04:00,14,3/4 17:25:00,14,3h 21m,3h 16m,3/4 10:48:00,9.18,Rainy Pass
Ramey Smyth,6,3/4 17:23:00,14,3/4 17:25:00,14,0h 2m,8h 46m,3/4 08:37:00,3.42,Rainy Pass
Sarah Stokey,52,3/4 12:43:00,14,3/4 17:34:00,14,4h 51m,3h 27m,3/4 09:16:00,8.70,Rainy Pass
Paige Drobny,40,3/4 14:00:00,14,3/4 17:48:00,13,3h 48m,3h 23m,3/4 10:37:00,8.87,Rainy Pass
Michi Konno,43,3/4 13:22:00,14,3/4 18:15:00,14,4h 53m,3h 31m,3/4 09:51:00,8.53,Rainy Pass
Brett Bruggeman,35,3/4 14:17:00,14,3/4 18:39:00,14,4h 22m,3h 42m,3/4 10:35:00,8.11,Rainy Pass
Lev Shvarts,13,3/4 13:38:00,14,3/4 18:41:00,13,5h 3m,3h 20m,3/4 10:18:00,9.00,Rainy Pass
Jeff King,23,3/4 13:29:00,14,3/4 18:52:00,14,5h 23m,3h 25m,3/4 10:04:00,8.78,Rainy Pass
Aaron Peck,47,3/4 14:15:00,13,3/4 18:54:00,13,4h 39m,3h 28m,3/4 10:47:00,8.65,Rainy Pass
Jeff Deeter,25,3/4 14:57:00,13,3/4 18:56:00,12,3h 59m,3h 24m,3/4 11:33:00,8.82,Rainy Pass
Martin Buser,21,3/4 14:44:00,14,3/4 19:01:00,14,4h 17m,3h 20m,3/4 11:24:00,9.00,Rainy Pass
Charley Bejna,31,3/4 15:21:00,14,3/4 19:26:00,13,4h 5m,3h 41m,3/4 11:40:00,8.14,Rainy Pass
Emily Maxwell,18,3/4 18:49:00,13,3/4 20:02:00,13,1h 13m,3h 29m,3/4 15:20:00,8.61,Rainy Pass
Sebastien Dos Santos Borges,46,3/4 16:34:00,14,3/4 21:16:00,14,4h 42m,4h 8m,3/4 12:26:00,7.26,Rainy Pass
Robert Redington,34,3/4 17:34:00,13,3/4 21:21:00,13,3h 47m,3h 30m,3/4 14:04:00,8.57,Rainy Pass
Ed Hopkins,33,3/4 18:17:00,14,3/4 21:24:00,14,3h 7m,3h 32m,3/4 14:45:00,8.49,Rainy Pass
Seth Barnes,45,3/4 18:46:00,14,3/4 21:25:00,14,2h 39m,3h 29m,3/4 15:17:00,8.61,Rainy Pass
Lance Mackey,44,3/4 18:38:00,14,3/4 21:46:00,14,3h 8m,3h 28m,3/4 15:10:00,8.65,Rainy Pass
Richie Beattie,50,3/4 16:23:00,14,3/4 21:51:00,14,5h 28m,4h 17m,3/4 12:06:00,7.00,Rainy Pass
